Trial-ID,Status,Iteration,lr_scaler,max_depth,n_estimators,subsample,Objective,test_mse
17610,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.707517448767359,9.633154254060855
17609,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.71003713225517,9.561259615792821
17608,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.767808004794205,10.940115803979499
17607,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.54428867294168,10.448827374646438
17606,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.020827680619464,10.80534204091253
17605,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.081069932445006,9.137719673270679
17604,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.719041766504404,9.799329648090676
17603,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.55612750573412,8.748056630348785
17602,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.197138475717633,10.553923496192036
17621,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.738855301237571,11.321954767958989
17620,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.878665108133474,9.339256378847065
17619,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.83364119592243,11.788020175954278
17618,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.900924219027464,10.386600286975844
17617,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.324939155654487,10.1811612081078
17616,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.14266404976452,10.506294350395184
17615,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.429628148826914,9.817796647701915
17614,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.774105654152468,9.918563449330971
17613,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,11.731211142774095,9.249186191405633
17612,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.003503006315894,8.877799631703429
17631,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.35065637403995,11.634375598463807
17630,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.946849967865619,11.44930818929575
17629,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,12.058933199973392,11.897665719428007
17628,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.995840931035707,11.521368484864688
17627,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.241118433438897,11.557877700443967
17626,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.419971742176552,11.365746474328212
17625,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,13.890746588718288,10.577806246218698
17624,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,14.02336537079473,10.840962853216157
17623,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.169551479895404,9.483353137340462
17622,COMPLETED,1,0.6767789565919712,8,372,0.7616099842488457,12.90578073635717,9.46002479722615
17641,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.077817604128061,11.337098310485148
17640,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.390161020898061,11.202563806377087
17639,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.732409887900188,10.65572767048164
17638,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.065498280816119,10.554515873173699
17637,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.445694156407834,11.093360397459008
17636,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.412974366408141,10.21671443497149
17635,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.877708433874677,11.222406723292773
17634,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.675745664062967,10.997427682231512
17633,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,12.119733198336109,11.669163495788734
17632,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,12.414867860378587,11.550576616414562
17651,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,12.094953163971427,9.053294362371194
17650,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,12.119297857132285,12.57273503866301
17649,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.642004978060198,10.398542761057918
17648,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.554817214041757,10.597888209053622
17647,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.420075917125109,10.639982644474905
17646,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,10.701346465306935,12.420270441425572
17645,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,12.315117756582527,12.077727867319858
17644,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.5298823223751,10.341460910358807
17643,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,9.428386353611074,9.322258176677195
17642,COMPLETED,1,0.5844618837813563,3,150,0.5426365151089589,11.298778967794387,10.622985991362496
17661,COMPLETED,1,1.2051895670202109,5,127,0.6954405661872176,13.270378648653589,10.720731951185408
